levels    n       t(n)[ns]           q(n)
    8   17       81004600       0.903136
    9   19      155008900       0.864112
   10   21      314018000       0.875261
   11   23      715040900       0.996516
   12   25     1435082100              1
   13   27     3724213000        1.29756
   14   29     7300417600        1.27178
   15   31    48245759500        4.20235
   16   33   189320828500        8.24521
