1	0
1	1000000
1	0
2	1000100
2	0
2	0
3	0
3	1000000
3	1000100
4	1000100
4	1000000
4	2000200
5	2000100
5	3000100
5	3000200
6	5000200
6	4000200
6	4000200
7	11000600
7	10000600
7	10000600
8	21001200
8	27001600
8	24001300
9	104005900
9	60003400
9	108006200
10	125007200
10	115006600
10	99005700
11	251014300
11	344019700
11	303017300
12	686039200
12	835047800
12	774044300
13	3514201000
13	9025516200
13	4471255800
14	11130636600
14	14722842100
14	10789617100
15	29637695100
15	35442027200
