0	1000	266015200
1	1000	459026200
2	1000	503028800
0	2000	1275072900
1	2000	1602091600
2	2000	1045059700
0	3000	1312075000
1	3000	1282073300
2	3000	1039059400
0	4000	1537088000
1	4000	1071061200
2	4000	1220069800
0	5000	2322132800
1	5000	2579147500
2	5000	3415195300
0	6000	6399366000
1	6000	8027459100
2	6000	12511715600
0	7000	10440597200
1	7000	7022401600
2	7000	11783674000
0	8000	5404309100
1	8000	9752557800
2	8000	7963455500
0	9000	10988628500
1	9000	11962684200
2	9000	14826848100
0	10000	10671610400
1	10000	9416538600
2	10000	5062289600
