levels    n       t(n)[ns]           q(n)
    8   17       78004400         1.#INF
    9   19      147008400        1.38353
   10   21      320018300       0.752941
   11   23      646036900       0.675556
   12   25     1700097200              1
   13   27     5199297300        1.95727
   14   29    16798960800        4.39163
   15   31    42408425600        8.14521
   16   33   153595785200        22.5863
