levels    n       t(n)[ns]           q(n)
    8   17       58003300        2.37633
    9   19      143008100        1.95296
   10   21      315018000        1.43399
   11   23      658037600       0.998483
   12   25     1977113000              1
   13   27     3882222100       0.654527
   14   29     8343477200       0.468892
   15   31    47857737300       0.896514
   16   33   152966749200        0.95517
