 
300	94005300	9.60163	   
300	1,43E+08	14.6067	   
300	1,51E+08	15.4239	   
600	2,34E+08	5.97549	   
600	3,15E+08	8.04392	   
600	3,06E+08	7.8141	   
900	4,97E+08	5.64068	   
900	3,58E+08	4.0631	   
900	2,35E+08	2.66712	   
1200	3,49E+08	2.22804	   
1200	3,9E+08	2.48979	   
1200	3,54E+08	2.25996	   
1500	5,36E+08	2.18999	   
1500	6,82E+08	2.78652	   
1500	7,34E+08	2.99898	   
1800	6,99E+08	1.98332	   
1800	5,78E+08	1.64	   
1800	6,19E+08	1.75633	   
2100	8,32E+08	1.73438	   
2100	9,11E+08	1.89906	   
2100	1,12E+09	2.33891	   
2400	1,05E+09	1.67582	   
2400	9,46E+08	1.50983	   
2400	1,07E+09	1.71253	   
2700	1,39E+09	1.75538	   
2700	1,02E+09	1.29132	   
2700	9,79E+08	1.23457	   
3000	1,08E+09	1.10725	   
3000	1,05E+09	1.06742	   
3000	9,21E+08	0.940756	   
3300	1,42E+09	1.19704	   
3300	1,1E+09	0.931124	   
3300	9,11E+08	0.769042	   
3600	1,22E+09	0.863267	   
3600	1,57E+09	1.11154	   
3600	1,72E+09	1.2229	   
3900	2,4E+09	1.45118	   
3900	1,21E+09	0.732543	   
3900	1,32E+09	0.797215	   
4200	1,69E+09	0.878135	   
4200	1,09E+09	0.568573	   
4200	1,27E+09	0.662901	   
4500	2,4E+09	1.08728	   
4500	1,31E+09	0.592441	   
4500	1,91E+09	0.86619	   
4800	2,78E+09	1.10923	   
4800	2,28E+09	0.907734	   
4800	1,87E+09	0.745739	   
5100	4,1E+09	1.44806	   
5100	7,35E+09	2.59675	   
5100	8,41E+09	2.97175	   
5400	7,99E+09	2.51832	   
5400	4,32E+09	1.36256	   
5400	4,17E+09	1.31591	   
5700	3,93E+09	1.11284	   
5700	3,51E+09	0.993155	   
5700	3,22E+09	0.911666	   
6000	4,01E+09	1.02503	   
6000	3,92E+09	1	   
6000	3,79E+09	0.968846	   
6300	3,75E+09	0.868812	   
6300	4,3E+09	0.995046	   
6300	3,37E+09	0.779638	   
6600	4,2E+09	0.886172	   
6600	3,89E+09	0.82117	   
6600	3,81E+09	0.804287	   
6900	3,63E+09	0.70034	   
6900	3,56E+09	0.68779	   
6900	3,7E+09	0.714436	   
7200	4,13E+09	0.733104	   
7200	3,51E+09	0.62156	   
7200	1,44E+09	0.255008	   
7500	3,84E+09	0.626762	   
7500	5,06E+09	0.82762	   
7500	4,71E+09	0.769275	   
7800	5,07E+09	0.765483	    
7800	4,57E+09	0.689781	   
7800	4,32E+09	0.653215	   
8100	4,58E+09	0.642295	   
8100	4,61E+09	0.646078	   
8100	4,71E+09	0.66023	   
8400	4,78E+09	0.622902	   
8400	5,24E+09	0.682183	   
8400	4,44E+09	0.578474	   
8700	4,98E+09	0.605219	   
8700	4,91E+09	0.596474	   
8700	5,01E+09	0.608741	   
9000	4,69E+09	0.532289	   
9000	5,04E+09	0.571445	   
9000	4,67E+09	0.529906	   
9300	5,11E+09	0.543038	   
9300	5,44E+09	0.578432	   
9300	4,85E+09	0.514977	   
9600	5,23E+09	0.521798	   
9600	4,97E+09	0.495463	   
9600	4,45E+09	0.443892	   
9900	5,19E+09	0.487182	   
9900	5,2E+09	0.48812	   
9900	4,58E+09	0.429966	   
10200	5,46E+09	0.482273	   
10200	9,93E+09	0.877246	   
10200	1,25E+10	1.10053	   
10500	1,12E+10	0.936816	   
10500	5,92E+09	0.493632	   
10500	4,42E+09	0.368306	   
10800	5,24E+09	0.41323	   
10800	4,93E+09	0.388482	   
10800	5,7E+09	0.449013	   
11100	6,15E+09	0.458496	   
11100	5,71E+09	0.426263	   
11100	5,09E+09	0.379556	   
11400	5,04E+09	0.356376	   
11400	5E+09	0.353971	   
11400	5,72E+09	0.40476	   
11700	8,19E+09	0.549676	   
11700	1,4E+10	0.94328	   
11700	1,31E+10	0.879549	 
